,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,category,RestaurantsTakeOut,DriveThru,RestaurantsAttire,BYOBCorkage,BusinessAcceptsBitcoin,HasTV,RestaurantsGoodForGroups,NoiseLevel,GoodForDancing,Caters,WheelchairAccessible,Smoking,BYOB,WiFi,HappyHour,DogsAllowed,ByAppointmentOnly,BusinessAcceptsCreditCards,GoodForKids,CoatCheck,RestaurantsPriceRange2,BikeParking,Alcohol,RestaurantsDelivery,OutdoorSeating,RestaurantsReservations,RestaurantsTableService,Corkage
16689,2nF2syYoD5VBFk01le6NkA,Montecito Deli & Catering,1150 Coast Village Rd,Santa Barbara,CA,93108,34.4213976639,-119.646426848,4.5,31,"Delis, Restaurants",True,,u'casual',,,False,False,u'quiet',,True,,,,'no',,False,,True,True,,1,True,u'none',True,True,False,False,
16759,06pNHtxgPhGhZpM0Z2uzNw,Hollister Brewing Company,6980 Marketplace Dr,Goleta,CA,93117,34.42949848,-119.8711372792,3.5,550,"Restaurants, Food, Breweries, American (Traditional), Brewpubs",True,,u'casual',,,True,True,u'average',,False,,,,'free',True,True,False,True,True,,2,True,u'full_bar',True,True,True,True,
16771,qUZ6PIkYCAsR8WPiHe16pw,Savor Santa Barbara Food Tours,"133 E De La Guerra, Ste 179",Santa Barbara,CA,93101,34.4218416,-119.6975604,5.0,20,"Food Tours, Local Flavor, Tours, Hotels & Travel, Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16832,MsqmvxOvkOnofmLlFM1iHg,Market Forays,,Santa Barbara,CA,93105,34.4496518576,-119.7332053326,4.5,8,"Food, Specialty Schools, Education, Cooking Schools, Cooking Classes, Personal Chefs, Arts & Crafts, Event Planning & Services, Farmers Market, Shopping",,,,,False,,,,,,,,,,,,,True,,,4,,,,,,,
16836,OygPSSuDpubinWKKXWVKKA,Wine & Food Experience - Santa Barbara,"27 W Anapamu St, Ste 399",Santa Barbara,CA,93101,34.4224532,-119.7049986,5.0,6,"Walking Tours, Food Tours, Hotels & Travel, Art Tours, Tours, Limos, Transportation, Wine Tours",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16954,VUeRlNoPfxywzNxWHU2Tig,Target,3891 State St,Santa Barbara,CA,93105,34.440028,-119.750853,3.0,50,"Shopping, Grocery, Fashion, Department Stores, Furniture Stores, Electronics, Home & Garden, Food",None,,,,,False,,,,False,True,,,u'no',False,False,False,True,,False,2,,,False,False,False,False,
17028,CGqmAkVKvp1Wpkp2H2XwhQ,Yogurtland Goleta,"5880 Calle Real, Ste C",Goleta,CA,93117,34.44162,-119.826962,4.0,57,"Ice Cream & Frozen Yogurt, Food",True,False,,,,,,u'average',,True,,,,'no',,,False,True,True,,1,True,,True,,,,
17055,z9-8KvMAlVK46De-G3sNJQ,Blenders In The Grass,720 State St,Santa Barbara,CA,93101,34.4193109,-119.6985193,4.0,239,"Fast Food, Food, Acai Bowls, Juice Bars & Smoothies, Restaurants",True,,'casual','yes_free',,False,True,u'loud',,False,,,,u'no',,False,,True,True,,1,True,'none',True,None,False,,False
17062,2DBo3WFKwpbtl9kJzuroIg,Mika,7020 Market Place Dr,Goleta,CA,93117,34.4287687,-119.871605,2.5,31,"Restaurants, Japanese",True,,'casual','yes_free',,True,True,u'average',,,,,,,,,,True,True,,2,,u'beer_and_wine',False,True,False,,False
17074,QaFbv7aLQBcfT4xMF1_WnQ,Rockfire Grill,6583 Pardall Rd,Goleta,CA,93117,34.4128786,-119.8577837,4.5,1246,"Restaurants, Chicken Wings, Sandwiches, Breakfast & Brunch, Pizza, Burgers",True,False,'casual',,False,True,True,'average',,True,True,,,u'free',True,True,False,True,True,,1,True,u'beer_and_wine',True,True,False,False,
17110,0YI4tyK4MrTAveuj2js4OA,Firehouse Subs,"6530 Seville Rd., #103",Isla Vista,CA,93117,34.4119196,-119.8548175,4.5,24,"Hot Dogs, Sandwiches, Fast Food, Restaurants, Delis, Cheesesteaks",True,False,u'casual',,False,True,True,'average',,True,True,,,'free',,True,,True,True,,1,True,'none',True,True,False,True,
17135,2OJqIloZMAZXCW3uzF8jJw,El Sitio,138 S Salinas St,Santa Barbara,CA,93103,34.4249436,-119.6711303,4.0,37,"Ethnic Food, Restaurants, Mexican, Specialty Food, Imported Food, Food",True,,u'casual',,,True,False,,,False,,,,'no',,,,True,True,,1,True,'beer_and_wine',False,True,False,False,
17146,45Ut-AN8h3c88-pYTrGBnA,PokeCeviche,901 Embarcadero Del Mar,Goleta,CA,93117,34.4130140263,-119.8572312963,4.0,155,"Asian Fusion, Poke, Seafood, Food, Restaurants",True,,'casual',,,False,True,u'average',,False,True,,,u'no',True,True,,True,True,,2,True,u'none',True,True,False,False,False
17234,748Tn5Hsf4LMCCA_WxVBfA,Little Asia,6527 Madrid Rd,Isla Vista,CA,93117,34.4123325,-119.8549832,2.5,29,"Japanese, Chinese, Korean, Asian Fusion, Restaurants",True,,'casual','no',,False,True,u'quiet',,False,,,,u'no',,,,True,True,,1,,u'none',False,True,False,,
17294,i3pBufSYEgx3_nLxxRrtGg,Maeda Restaurant,1208 State Street,Santa Barbara,CA,93101,34.4236434,-119.7045362,3.5,6,"Restaurants, Japanese",,,'casual',,,,True,,,,,,,,,,,True,,,2,,,,,,,
17311,W7gSJz80DywKnPRIGjA2Bw,Derf's Cafe,2000 De La Vina St,Santa Barbara,CA,93105,34.428957,-119.7169716,3.5,126,"Restaurants, American (Traditional)",True,,'casual',,,True,True,u'average',,False,,,,u'no',True,,,True,True,,2,True,u'full_bar',False,True,False,True,
17365,V2cQOeZwPBmjpln6_p1Ygw,Stearns Wharf,217 Starnms Wharf,Santa Barbara,CA,93190,34.4100137734,-119.6855497819,4.0,297,"Public Services & Government, Landmarks & Historical Buildings, Local Flavor, Restaurants, Tours, Shopping, Shopping Centers, Seafood, Hotels & Travel, Boat Tours",,,,,,,,,,,,,,,,,,,True,,,,,,,,,
17421,-TSPsir3LSLO9vVBkvkqUw,The Coffee Bean & Tea Leaf,4991 Carpinteria Ave,Carpinteria,CA,93013,34.3989642,-119.5187298,3.5,53,"Coffee & Tea, Food",True,,,,,,,,,False,,,,u'free',,True,,True,,,2,True,,True,True,,,
17468,ZJrGrghbNx4WTPb5cL2GFw,See's Candies,"205 Paseo Nuevo, Paseo Nuevo Mall",Santa Barbara,CA,93101,34.419215,-119.700334,3.0,11,"Candy Stores, Specialty Food, Shopping, Food, Flowers & Gifts, Gift Shops, Chocolatiers & Shops",,,,,,,,,,False,True,,,u'no',,,,True,,,2,False,,True,,,,
17470,VWL9UqAKfyvGeb0AlOTusA,Silvergreens,900 Embarcadero Del Mar,Isla Vista,CA,93117,34.4130508,-119.8568779,3.5,308,"Burgers, American (Traditional), Sandwiches, Restaurants, Salad, Soup, Breakfast & Brunch",True,False,'casual','yes_free',False,False,True,u'average',,True,,,,u'free',False,,False,True,True,,1,True,'none',True,True,False,,False
17546,oJwMmSZKJOnMboZ_z67MZw,Revolver,1429 San Andres St,Santa Barbara,CA,93101,34.4184182,-119.7160021,4.5,93,"Restaurants, Pizza",True,,,,,,,,,,,,,u'free',,True,,,,,2,,u'beer_and_wine',False,True,,,
17645,v7dKKlpLH36GQTIX5qIReQ,Phoevermore,1017 Casitas Pass Rd,Carpinteria,CA,93013,34.3962013859,-119.5140363579,4.0,108,"Restaurants, Vietnamese",True,,'casual',,,True,True,u'average',,True,,,,'no',,,,True,True,,2,True,u'none',True,True,False,False,
17649,IDyJPdJ-zTXJ_FSSOMOgbg,Taco's To Go,794 Linden Ave,Carpinteria,CA,93013,34.3973934,-119.5199812,4.0,84,"Restaurants, Mexican, Food, Beer, Wine & Spirits",True,,'casual','no',,True,False,u'average',,False,,,,u'no',,,,True,True,,1,True,'full_bar',False,False,False,,
17737,DB0WtDBVJBUDJ2ql5BBdOQ,Santa Cruz Markets,5757 Hollister Ave,Goleta,CA,93117,34.4354105,-119.8255093,4.5,27,"Food, Grocery",True,,,,,,,,,,,,,,,,,True,,,1,False,,,,,,
17802,z64NmuzWMMmJty6gE_3nWQ,Vons,2010 Cliff Dr,Santa Barbara,CA,93109,34.4025297,-119.7237643,2.5,24,"Grocery, Beer, Wine & Spirits, Food",True,,,,,,,,,True,,,,,,,,True,,,2,True,,True,,,,
17866,ERzIS-WRLw-80_B4yqcG3Q,Chuck's of Hawaii,3888 State St,Santa Barbara,CA,93105,34.4407042,-119.7500818,3.5,260,"Salad, Steakhouses, Restaurants, Nightlife, Seafood",True,,u'casual','yes_corkage',,True,True,u'average',,False,,,,u'no',True,False,,True,True,,2,True,u'full_bar',None,True,True,,True
17889,j2JyjUtiSeZ7v47stnyR7w,Robitaille's Fine Candies,900 Linden Ave,Carpinteria,CA,93013,34.3981417,-119.5188422,4.5,78,"Food, Specialty Food, Candy Stores, Chocolatiers & Shops, Ice Cream & Frozen Yogurt",True,,,,,,,,,,,,,,,,,True,,,2,True,,,,,,
17895,IZZ7J14VnJGyUqYH1tgT6w,Satellite,1117 State St,Santa Barbara,CA,93101,34.4226158,-119.7040291,4.5,159,"Restaurants, Vegan, Tapas/Small Plates, Vegetarian, Bars, Farmers Market, Beer, Wine & Spirits, Beer Bar, Food, Cafes, Nightlife, Wine Bars",True,,u'casual',,False,False,True,u'average',False,True,True,u'no',,u'free',True,True,False,True,False,False,2,True,u'beer_and_wine',True,True,False,False,
17947,YxWiv24PHCseiVvGlqKFrQ,Woodstock's Pizza Isla Vista,928 Embarcadero Del Norte,Isla Vista,CA,93117,34.4123310634,-119.8552291118,4.0,485,"Vegetarian, Gluten-Free, Pizza, Caterers, Restaurants, Event Planning & Services",True,,'casual',,False,True,True,u'average',,True,,,,u'free',True,True,,True,True,,2,True,u'beer_and_wine',True,True,True,True,
18015,U3grYFIeu6RgAAQgdriHww,Brophy Bros - Santa Barbara,119 Harbor Way,Santa Barbara,CA,93109,34.4037593,-119.6939922,4.0,2940,"Cocktail Bars, Fish & Chips, Nightlife, Seafood, Restaurants, Bars",True,,'casual',,False,False,True,u'loud',,False,False,,,u'free',False,False,False,True,True,,2,True,'full_bar',True,True,False,True,True
18058,-veGIq3SvwFMi5ZwMSIqkg,Red Sand Market and Deli,207 W Anapamu St,Santa Barbara,CA,93101,34.420862,-119.706714,4.5,11,"Delis, Food, Beer, Wine & Spirits, Convenience Stores, Grocery, Restaurants",True,,u'casual',,,True,False,u'average',,,,,,,,,,True,True,,1,,,False,False,False,,
18110,yy6suHtRjIg3RwsNt5vstA,Sandpiper Golf Club,7925 Hollister Ave,Goleta,CA,93117,34.4307328982,-119.9072168552,3.5,85,"Restaurants, American (Traditional), Active Life, Golf",,,,,,,,,,,,,,,,,,,False,,,True,,,,,,
18142,kxxexMsFL4xJLIafhXXFlw,Esau's Cafe,721 Chapala St,Santa Barbara,CA,93101,34.418003,-119.7000473,4.0,160,"Restaurants, Coffee & Tea, Food, Breakfast & Brunch, Diners",True,,u'casual',,,True,True,u'average',,False,,,,u'no',,,,True,True,,2,True,u'beer_and_wine',False,True,False,,
18203,NWwVZnCb8-Oh9QWWAb2T2Q,Somerset,7 E Anapamu St,Santa Barbara,CA,93101,34.4238114327,-119.7043829347,3.5,100,"American (New), Bars, Restaurants, Lounges, Nightlife",False,,u'dressy',,,False,True,u'average',False,False,True,u'no',,u'no',True,,,True,False,False,4,True,u'full_bar',False,True,True,True,
18252,oJsuZohTOk7oTiA7K3aqRw,Mi Fiesta Market 4,728 E Haley St,Santa Barbara,CA,93103,34.4248528,-119.6866645,3.0,7,"Grocery, Food",True,,,,,,,,,,,,,,,,,True,,,1,False,,,,,,
18349,q36uZc2hQml10YGHazJaoQ,Secret Bao,1201 Anacapa St,Santa Barbara,CA,93101,34.4244769367,-119.7035096092,4.5,145,"Pop-Up Restaurants, Korean, Restaurants, Asian Fusion",True,,,,,False,True,u'average',,True,True,,,u'free',,True,,True,,,,True,u'beer_and_wine',False,True,True,True,
18413,yb5O_glLwtaTlaO9YnMfzg,805 Street Bites,152 Aero Camino,Goleta,CA,93117,34.4327736,-119.848279,4.5,9,"Caterers, Food Trucks, Event Planning & Services, Food",,,,,,,,,,,,,,,,,,True,,,1,,u'none',False,,,,
18425,0yD-SZAfjpH36-o7_pospw,Rincon Brewery,6583 Pardall Rd,Isla Vista,CA,93117,34.4129009,-119.8578105,4.0,15,"Breweries, Restaurants, Nightlife, Bars, Food, Pubs, Pizza",True,,,,,,,,,False,True,,,,,True,,True,,,2,True,,,,False,,
18547,Tpr8CltepNzpRpQC2JM4pQ,Sage & Onion Cafe,5599 Hollister Ave,Goleta,CA,93117,34.4354248,-119.8203955,4.0,90,"Breakfast & Brunch, Sandwiches, Salad, Cafes, Restaurants",True,,u'casual',,,False,True,u'average',,True,,,,u'free',,,,True,True,,1,True,u'beer_and_wine',False,True,False,,
18549,5vObJIHLO-QOMrw_MvC4rA,The Worker Bee Cafe,973 Linden Ave,Carpinteria,CA,93013,34.3988256,-119.5187957,4.0,828,"Breakfast & Brunch, Diners, Restaurants, American (Traditional)",True,,'casual','yes_free',False,False,True,u'average',,True,True,,False,u'no',False,True,False,True,True,,2,True,u'beer_and_wine',None,True,False,True,False
18609,nYPzsOjvida-ne7swSPHpA,Santo Mezcal,119 State St,Santa Barbara,CA,93101,34.413456,-119.691322,4.5,990,"Latin American, Restaurants, Mexican, New Mexican Cuisine",True,False,'casual',,False,False,True,u'average',,False,True,,,'no',True,True,False,True,True,,2,True,'full_bar',True,None,False,True,
18610,MmN1qpG224QxOeq72DpN2g,Aldo's Italian Restaurant,1031 State St,Santa Barbara,CA,93101,34.4220883483,-119.7029963924,3.0,311,"Italian, Restaurants",True,,'casual',,,False,True,u'average',,False,,,,u'no',,,,True,True,,2,False,u'beer_and_wine',False,True,True,,
18613,6mnMWKb562xajtmnQ8BoOQ,Heat Culinary,4647 Carpinteria Ave,Carpinteria,CA,93013,34.4013799,-119.5237762,5.0,33,"Cooking Classes, Caterers, Shopping, Event Planning & Services, Food Trucks, Food, Arts & Crafts",False,,,,,,,,,,True,,,u'free',,,,True,,,,True,u'beer_and_wine',False,,,,
18684,9ugpNKKhnYRa51qXoxUw_A,Lilly's Tacos,310 Chapala St,Santa Barbara,CA,93101,34.414316,-119.694449,4.5,1219,"Mexican, Restaurants",True,None,'casual',,,True,True,u'average',,True,True,,False,u'no',False,False,,True,True,,1,True,u'none',None,False,False,False,False
18720,NMnn6FJkW802ldqdgScVxQ,Las Aves Cafe,2220 Bath St,Santa Barbara,CA,93105,34.430288,-119.720935,3.5,39,"Mexican, Restaurants",True,,u'casual',,,True,True,u'quiet',,True,,,,u'no',True,,,True,True,,2,True,u'full_bar',False,True,True,,
18793,e63pcbZaXxSY_YyhBol-bw,The Roundhouse,633 E Cabrillo Blvd,Santa Barbara,CA,93103,34.4171879238,-119.6766893918,2.5,22,"Restaurants, Breakfast & Brunch, American (Traditional)",True,,'casual',,,True,True,u'average',,,,,,,,,,True,True,,2,True,u'beer_and_wine',False,True,True,,
18807,RsjgvZO_0aLsg9YxvtBwpg,Pizza Hut,"5915 Calle Real, Ste A",Goleta,CA,93117,34.4413305,-119.828411,2.0,47,"Restaurants, Pizza, Chicken Wings, American (New), Italian",True,,'casual',,,True,True,,,,,,,,,,,True,True,,1,True,'none',True,False,False,,
18813,cAbdvzqtFLaAAMFIyPf2AA,Holdren's Steaks & Seafood,512 State St,Santa Barbara,CA,93101,34.4171144,-119.6958556,4.0,544,"Steakhouses, Burgers, Bars, Seafood, Cocktail Bars, Restaurants, Nightlife",True,None,u'casual',,False,True,True,u'average',,True,,,,u'free',True,True,,True,False,,3,True,u'full_bar',None,True,True,True,
18851,ygZuo1m7tyb9REVV9hAADA,Albertsons,"7127 Hollister Ave, Ste 27",Goleta,CA,93117,34.4278276425,-119.8764641177,2.5,95,"Drugstores, Food, Shopping, Grocery",True,,,,,,,u'average',,False,,,,,,False,False,True,True,,2,True,,True,,,,
18883,IXQH9-nnTWZFgBF0V3MH-A,Cali-Forno Pizzeria,905 State St,Santa Barbara,CA,93101,34.4206139,-119.7009473,4.0,16,"Sandwiches, Pizza, Restaurants, Italian",True,,,,,,,,,,True,,,u'free',,,,,,,,,,,,,False,
18913,rUePoREIOze59D3fd6B6ew,Domino's Pizza,"185 S Patterson Ave, Ste G",Goleta,CA,93111,34.4356695,-119.8097733,2.5,48,"Pizza, Sandwiches, Chicken Wings, Restaurants",True,,u'casual',,,True,True,u'very_loud',,False,,,,'no',,,,True,True,,1,True,u'none',True,False,False,False,
18922,_l05Dd6BKBAiJKX71bLq6g,Open Cup Coffee & Tea,728 State St,Santa Barbara,CA,93101,34.4194038,-119.6988071,4.0,11,"Food, Coffee & Tea",,,,,,,,,,,,,,u'free',,,,True,,,1,,,,True,,,
18957,iIwnJPJJMVExGDwRE3UhUw,Williams-Sonoma,"3835 State St, Ste C-150-A, La Cumbre Plaza",Santa Barbara,CA,93105,34.4374845506,-119.7483566735,3.0,30,"Shopping, Home & Garden, Specialty Food, Appliances, Kitchen & Bath, Food",False,,,,,,,,,,,,,,,,,True,,,3,True,,True,,,,
19011,FdoqtMadj4ybDAL7S-yUBQ,Summerland Beach Cafe,2294 Lillie Ave,Summerland,CA,93067,34.4219409,-119.6002318,4.0,663,"Restaurants, American (Traditional), Breakfast & Brunch",True,,'casual',,,True,True,u'average',,False,True,,,u'free',False,True,,True,True,,2,True,'beer_and_wine',None,True,False,True,
19052,3xJ_6qxRA0sdUm3ThCPiCw,Giannfranco's Trattoria,666 Linden Ave,Carpinteria,CA,93013,34.3966511,-119.5207933,4.0,271,"Italian, Restaurants",True,,u'casual',,,True,True,u'average',,True,,,,u'no',,,,True,False,,2,True,u'beer_and_wine',False,True,True,True,
19127,u3uB0GD7cVf5NC-AFHdwnQ,Golden Line Coffee Bar,"618 Anacapa St, Ste A, Villa Wine Bar",Santa Barbara,CA,93101,34.4195407,-119.6963589,5.0,10,"Pop-Up Restaurants, Coffee & Tea, Food, Restaurants",True,,,,,False,,,,False,True,,,u'free',,,,True,,,,True,,False,True,,,
19211,IG-CwPl5mb6-hmpFjXUIvA,Choppa Poke,716 State St,Santa Barbara,CA,93101,34.419247,-119.698394,4.0,52,"Food, Live/Raw Food, Restaurants, Ice Cream & Frozen Yogurt, Asian Fusion, Poke, Seafood, Food Delivery Services",None,,,,False,True,,,,True,True,,,u'free',False,True,,True,,,,,u'none',None,False,False,False,
19228,5vIfUavd23X3lBzjnnc4QA,Winchell's Donuts,202 N Milpas,Santa Barbara,CA,93103,34.423799,-119.6815126,3.0,21,"Food, Donuts, Restaurants, Sandwiches, Coffee & Tea",True,,,,,,,,,False,,,,u'free',,,,True,,,1,True,,,,,,
19363,v4AMcIZ--hXZuJIg3luUgg,Tamira,1027 State St,Santa Barbara,CA,93101,34.4220625,-119.7029317,4.5,778,"Indian, Restaurants",True,,u'casual',,,True,True,u'average',,True,,,,u'no',False,,,True,True,,2,True,u'beer_and_wine',False,True,True,,
19373,-r6nmLB5Vi2TLQCxh0_dtw,South Coast Deli- Carrillo,10 E Carrillo St,Santa Barbara,CA,93101,34.4217021,-119.7013299,4.0,215,"Salad, Sandwiches, Restaurants, Delis",True,,u'casual',,,True,False,u'average',,False,,,,'free',,True,,True,True,,1,True,u'none',True,True,False,,
19389,Hj44PIrCtv61ETVclzLMwg,Jeannine's American Bakery Restaurant,15 E Figueroa St,Santa Barbara,CA,93101,34.4230808,-119.7028282,4.0,380,"American (New), Food, Breakfast & Brunch, Restaurants, Bakeries, Coffee & Tea",True,,u'casual',,,True,True,u'average',,False,,,,u'no',False,False,False,True,True,,2,True,u'beer_and_wine',True,None,False,,
19444,NTWeW_PgQjIZ38h8St7mCQ,Posies & Sugar,,Santa Barbara,CA,93101,34.420334,-119.7107494,5.0,14,"Patisserie/Cake Shop, Bakeries, Custom Cakes, Desserts, Food",True,,,,True,,,,,True,False,,,,,,False,True,,,,False,,True,,,,
19470,ng12rnK6ZGFddlC15c6Pqg,Haggen Food & Pharmacy,2010 Cliff Dr,Santa Barbara,CA,93109,34.4024779,-119.7236762,1.5,9,"Beer, Wine & Spirits, Grocery, Bakeries, Delis, Food, Restaurants",False,,u'casual',,,False,True,,,,,,,,,,,True,True,,,,,False,,False,,
19473,NCHUoBAMTDqI754PICPN9A,Starbucks,888 Embarcadero Del Norte,Isla Vista,CA,93117,34.413366,-119.855213,3.0,99,"Restaurants, Food, Coffee & Tea",False,,,,,,True,,,True,,,,u'free',,,,True,False,,1,True,,False,True,False,,
19495,Qy6PgrvD6iYOtkd56ldTXQ,East Beach Wine Co,"1114 State St, Ste 24",Santa Barbara,CA,93101,34.4228713,-119.703437,3.0,18,"Beer, Wine & Spirits, Food, Wedding Planning, Event Planning & Services",,,,,,,,,,,,,,,,,,True,,,2,,,,,,,
19649,LgSEHsI9DKyeGVGtn61tEg,Ana's Taco Bar,505 State St,Santa Barbara,CA,93101,34.4168018,-119.695883,3.0,85,"Restaurants, Mexican, Burgers",True,False,'casual',,,True,False,'average',,True,True,,,'no',True,False,,True,True,,1,True,'beer_and_wine',True,False,False,True,
19686,mAqgsZBTN-wsShMpkz2o9g,Cantwell's Market & Deli,1533 State St,Santa Barbara,CA,93101,34.4267539,-119.7095028,3.0,142,"Food, Breakfast & Brunch, Grocery, Sandwiches, Beer, Wine & Spirits, Meat Shops, Delis, Specialty Food, Restaurants, Health Markets",True,,u'casual',,False,True,False,u'average',,True,True,,False,u'free',,False,,True,True,,2,True,u'beer_and_wine',True,True,False,False,False
19812,CTmAWi-W8_Id00EjHF5Uwg,Rusty's Pizza Parlor,5250 Carpinteria Ave,Carpinteria,CA,93013,34.3972654,-119.5159889,3.5,131,"Restaurants, Salad, Sandwiches, Chicken Wings, Pizza",True,,u'casual',,,True,True,u'average',,False,,,,'no',,,,True,True,,2,True,u'beer_and_wine',True,None,True,,
19838,sor6oj-nuslOcSx7di4urA,Santa Barbara Fish Market,"117 Harbor Way, Unit A",Santa Barbara,CA,93109,34.4037491,-119.6935611,4.0,327,"Seafood, Specialty Food, Seafood Markets, Farmers Market, Restaurants, Food",False,True,u'casual',,,False,False,u'loud',,False,True,,,u'no',,,,True,False,,2,True,'none',True,None,False,,
19850,WuaB_R6EOFp0S8D5C8eKYw,Sublime,901 N Milpas St,Santa Barbara,CA,93103,34.4299488,-119.6907914,2.5,9,"Restaurants, Home Services, American (New), Contractors",True,,'casual',,,True,False,,,,,,,,True,,,True,False,,3,,,False,True,True,,
19866,U2hkeMI-q4cS35QolJYN0A,Arigato Sushi,1225 State St,Santa Barbara,CA,93101,34.4238502,-119.7054774,4.0,980,"Restaurants, Sushi Bars, Japanese, Asian Fusion",True,,'casual','yes_corkage',False,False,True,u'average',,False,True,,,u'no',,True,,True,False,,3,True,'beer_and_wine',False,True,True,True,True
19875,b2Za53CjptGyf9K0fFnrAg,Petrini's Italian Restaurant - Santa Barbara,14 W Calle Laureles,Santa Barbara,CA,93105,34.4398038551,-119.7283961644,4.0,233,"Restaurants, Pizza, Italian",True,,'casual',,False,True,True,u'average',,True,,,,u'no',,,,True,True,,2,True,u'beer_and_wine',False,True,True,,
19973,hvynpnucDVWFpCPSruuaBQ,Pita Pit,971 Embarcadero Del Mar,Isla Vista,CA,93117,34.4112755,-119.857273,3.5,37,"Greek, Mediterranean, Sandwiches, Vegetarian, Restaurants",True,,'casual',,,True,True,u'quiet',,True,,,,,,,,True,True,,1,True,u'none',True,False,False,,
20069,SWP5Cck3Hd_g-KWfVkF_IQ,KOL'S,6533 Trigo Rd,Isla Vista,CA,93117,34.4108424,-119.8552361,4.0,26,"Food, Bagels, Cafes, Breakfast & Brunch, Sandwiches, Creperies, Restaurants",True,,u'casual',,False,False,True,u'average',,True,True,,,u'free',,True,,True,True,,1,True,u'none',True,True,False,False,
20114,7o-p4IlitJ-SbSCZ84vHqQ,Campus Point Coffee,6560 Pardall Rd,Goleta,CA,93117,34.4132765,-119.8567759,4.5,10,"Food, Cafes, Coffee & Tea, Bakeries, Restaurants",,,,,,,,u'average',,,,,,u'free',,True,,True,,,1,,,,True,,,
20148,UCf1qieF9Lss61Te-Qnacg,Sushi Cafe,28 W Figueroa St,Santa Barbara,CA,93101,34.4218719,-119.7043007,3.0,10,"Sushi Bars, Restaurants",True,,'casual',,,True,None,,,,,,,,,,,True,True,,2,False,,,None,False,,
20154,cbCfEey52oqget-1fRfKUQ,ampm,1116 Casitas Pass Rd,Carpinteria,CA,93013,34.396174,-119.512153,1.5,11,"Convenience Stores, Food",,,,,,,,,,,,,,,,,,True,,,1,True,,,,,,
20215,L9QTAucz_in5f-ufCrvb1Q,Live Culture,"Paseo Nuevo Mall, 11 W De La Guerra",Santa Barbara,CA,93101,34.420334,-119.7107494,3.5,43,"Food, Restaurants, Wine Bars, Coffee & Tea, Bars, Nightlife, Ice Cream & Frozen Yogurt",,,,,,,True,u'average',,,,,,u'free',,,,True,,,2,,u'beer_and_wine',,True,,,
20316,iaLaRfHUysXkKd1iNCTWbw,Cebada Wine,813 Anacapa St,Santa Barbara,CA,93101,34.4210178,-119.6988418423,4.5,67,"Food, Wine Tasting Room, Arts & Entertainment, Wineries, Specialty Food, Event Planning & Services",False,,,,False,,,,,False,True,,,u'free',True,True,False,True,False,,2,True,,,,,,
20335,Aj44kUBmEfJlUsGCvKJKtw,Starbucks,208 West Carrillo St,Santa Barbara,CA,93101,34.419347,-119.704388,3.0,21,"Coffee & Tea, Food",True,,,,,,,,,,,,,u'free',,,,True,,,1,False,,,True,,,
20352,zVxDd79gdZcfz-O14QBCrA,Snack Shack,801 State St,Santa Barbara,CA,93101,34.4195599102,-119.699531239,3.5,12,"Beer, Wine & Spirits, Food, American (Traditional), Restaurants",True,,u'casual',,,False,True,u'average',,,,,,,,,,True,True,,,,u'beer_and_wine',,True,False,,
20358,bTVY4S3fC-ZI4-Vy-fvCsQ,7-Eleven,7443 Hollister,Goleta,CA,93117,34.4295534,-119.8870693,3.5,5,"Coffee & Tea, Grocery, Convenience Stores, Food",True,,,,,,,,,,True,,,,,,,True,,,1,True,,True,,,,
20398,H5bsmYmdO3FBVQHC3jfx2g,John Dunn Gourmet Dining Room,721 Cliff Dr,Santa Barbara,CA,93101,34.4064006,-119.6972865,4.0,5,"Diners, Restaurants",False,,'casual',,,True,True,u'average',,False,,,,u'no',,,,True,False,,1,True,u'none',False,True,True,,
20432,iOYjF9CY-X3KY5wS5opyfg,Cliff's & Co Restaurant,1919 Cliff Dr,Santa Barbara,CA,93109,34.4014219,-119.72302,3.5,8,"Event Planning & Services, Party & Event Planning, Restaurants, Caterers, American (Traditional), Mexican",True,,u'casual',,,,True,,,,,,,,,,,True,True,,2,,u'beer_and_wine',True,True,False,,
20465,p73i2GDzPRZJbYBa8qtpSQ,IV Drip,905 Embarcadero Del Norte,Isla Vista,CA,93117,34.4128798,-119.855609,4.0,146,"Ice Cream & Frozen Yogurt, Coffee & Tea, Desserts, Restaurants, Food",True,,,,,,,u'average',,False,,,,u'free',,True,,True,,,1,True,,None,True,,,
20531,3fpAmsSuEFNF29UUPpgwlw,Spudnuts & Bagels,3629 State St,Santa Barbara,CA,93105,34.4401969,-119.7414014,4.5,292,"Restaurants, Bagels, Coffee & Tea, Food, Bubble Tea, Donuts",None,,,,,,,,,False,,,,,,,,True,,,1,True,,True,,,,
20630,dDU-0EW4Asx-RnM-vULFQw,Lighthouse Coffee,"1819 Cliff Dr, Unit C",Santa Barbara,CA,93109,34.4010923,-119.7214959,4.5,87,"Coffee & Tea, Food",,,,,,,,,,,,,,u'free',,True,,True,,,,,,,True,,,
20780,d0ybsdCs9S9DTDTxuwLbKg,La Tapatia,5764 Hollister Ave,Goleta,CA,93117,34.4359029,-119.8255196,3.0,52,"Restaurants, Mexican",True,,'casual',,,True,True,u'average',,,,,,'no',,,,True,True,,1,False,,True,False,False,,
